Date,CPI,GDP,Unemployment,RSI,Bank_Rate,FTSE100,Inflation_YoY,Inflation_lag3,Inflation_lag6
2012-04-01,95.9,573112.0,8.1,84.3,0.5,5812.200195,2.8418230563002744,3.363471971066878,4.819944598337944
2012-05-01,95.9,573112.0,8.0,85.0,0.5,5260.200195,2.676659528907921,3.3695652173912904,4.761904761904767
2012-06-01,95.5,573112.0,8.0,85.2,0.5,5571.200195,2.3579849946409492,3.470715835141003,4.2763157894736725
2012-07-01,95.85,579051.0,7.9,85.1,0.5,5712.799805,2.4585783003741257,2.8418230563002744,3.363471971066878
2012-08-01,96.1,579051.0,7.8,85.2,0.5,5711.5,2.452025586353934,2.676659528907921,3.3695652173912904
2012-09-01,96.5,579051.0,7.8,85.6,0.5,5820.5,2.2245762711864403,2.3579849946409492,3.470715835141003
2012-10-01,97.15,578215.0,7.8,84.9,0.5,5782.700195,2.6955602536997914,2.4585783003741257,2.8418230563002744
2012-11-01,97.2,578215.0,7.8,84.5,0.5,5866.799805,2.748414376321362,2.452025586353934,2.676659528907921
2012-12-01,97.6,578215.0,7.8,84.8,0.5,5897.799805,2.628811777076767,2.2245762711864403,2.3579849946409492
2013-01-01,97.76666666666667,579749.0,8.0,84.4,0.5,6276.899902,2.6242127361791656,2.6955602536997914,2.4585783003741257
2013-02-01,97.8,579749.0,7.8,85.8,0.5,6360.799805,2.8391167192429068,2.748414376321362,2.452025586353934
2013-03-01,98.1,579749.0,7.8,84.8,0.5,6411.700195,2.8301886792452713,2.628811777076767,2.2245762711864403
2013-04-01,98.35,583605.0,7.7,84.7,0.5,6451.299805,2.5547445255474255,2.6242127361791656,2.6955602536997914
2013-05-01,98.5,583605.0,7.7,85.7,0.5,6583.100098,2.711157455683,2.8391167192429068,2.748414376321362
2013-06-01,98.3,583605.0,7.7,86.4,0.5,6307.799805,2.9319371727748678,2.8301886792452713,2.628811777076767
2013-07-01,98.5,588076.0,7.7,86.6,0.5,6682.0,2.764736567553472,2.5547445255474255,2.6242127361791656
2013-08-01,98.7,588076.0,7.6,85.9,0.5,6412.899902,2.7055150884495394,2.711157455683,2.8391167192429068
2013-09-01,99.1,588076.0,7.4,86.9,0.5,6460.0,2.694300518134707,2.9319371727748678,2.8301886792452713
2013-10-01,99.19999999999999,591954.0,7.2,86.0,0.5,6731.399902,2.1101389603705334,2.764736567553472,2.5547445255474255
2013-11-01,99.2,591954.0,7.2,86.7,0.5,6650.600098,2.0576131687242816,2.7055150884495394,2.711157455683
2013-12-01,99.6,591954.0,7.1,87.1,0.5,6749.100098,2.049180327868849,2.694300518134707,2.9319371727748678
2014-01-01,99.46666666666665,596696.0,6.9,87.0,0.5,6510.399902,1.738833958404351,2.1101389603705334,2.764736567553472
2014-02-01,99.5,596696.0,6.7,87.6,0.5,6809.700195,1.7382413087934534,2.0576131687242816,2.7055150884495394
2014-03-01,99.7,596696.0,6.6,88.4,0.5,6652.600098,1.6309887869520923,2.049180327868849,2.694300518134707
2014-04-01,100.1,602310.0,6.4,88.3,0.5,6808.899902,1.7793594306049876,1.738833958404351,2.1101389603705334
2014-05-01,100.0,602310.0,6.3,88.8,0.5,6844.5,1.522842639593902,1.7382413087934534,2.0576131687242816
2014-06-01,100.2,602310.0,6.1,89.1,0.5,6802.899902,1.9328585961342792,1.6309887869520923,2.049180327868849
2014-07-01,100.0,607213.0,6.0,89.2,0.5,6679.200195,1.522842639593902,1.7793594306049876,1.738833958404351
2014-08-01,100.2,607213.0,6.0,89.5,0.5,6825.299805,1.5197568389057725,1.522842639593902,1.7382413087934534
2014-09-01,100.3,607213.0,5.9,88.9,0.5,6557.5,1.2108980827447047,1.9328585961342792,1.6309887869520923
2014-10-01,100.30000000000001,611220.0,5.9,89.8,0.5,6546.5,1.1088709677419484,1.522842639593902,1.7793594306049876
2014-11-01,100.1,611220.0,5.7,90.4,0.5,6722.600098,0.9072580645161255,1.5197568389057725,1.522842639593902
2014-12-01,100.1,611220.0,5.6,92.6,0.5,6566.100098,0.5020080321285203,1.2108980827447047,1.9328585961342792
2015-01-01,99.60000000000001,613076.0,5.6,91.6,0.5,6749.399902,0.13404825737266535,1.1088709677419484,1.522842639593902
2015-02-01,99.5,613076.0,5.5,91.8,0.5,6946.700195,0.0,0.9072580645161255,1.5197568389057725
2015-03-01,99.7,613076.0,5.5,91.8,0.5,6809.5,0.0,0.5020080321285203,1.2108980827447047
2015-04-01,100.0,615875.0,5.6,92.4,0.5,6986.0,-0.09990009990009652,0.13404825737266535,1.1088709677419484
2015-05-01,100.1,615875.0,5.6,92.3,0.5,6953.600098,0.09999999999998899,0.0,0.9072580645161255
2015-06-01,100.2,615875.0,5.5,92.6,0.5,6608.600098,0.0,0.0,0.5020080321285203
2015-07-01,100.05,618263.0,5.4,92.7,0.5,6696.299805,0.04999999999999449,-0.09990009990009652,0.13404825737266535
2015-08-01,100.3,618263.0,5.3,92.1,0.5,6058.5,0.09980039920158834,0.09999999999998899,0.0
2015-09-01,100.2,618263.0,5.2,94.2,0.5,6072.5,-0.09970089730807485,0.0,0.0
2015-10-01,100.3,621968.0,5.1,93.3,0.5,6361.100098,-1.1102230246251565e-14,0.04999999999999449,-0.09990009990009652
2015-11-01,100.3,621968.0,5.1,93.9,0.5,6356.100098,0.19980019980019303,0.09980039920158834,0.09999999999998899
2015-12-01,100.3,621968.0,5.1,94.0,0.5,6242.299805,0.19980019980019303,-0.09970089730807485,0.0
2016-01-01,100.0,625099.0,5.1,96.5,0.5,6083.799805,0.40160642570279403,-1.1102230246251565e-14,0.04999999999999449
2016-02-01,99.8,625099.0,5.1,95.4,0.5,6097.100098,0.3015075376884502,0.19980019980019303,0.09980039920158834
2016-03-01,100.2,625099.0,5.0,95.3,0.5,6146.100098,0.5015045135406293,0.19980019980019303,-0.09970089730807485
2016-04-01,100.30000000000001,629697.0,4.9,95.9,0.5,6241.899902,0.30000000000001137,0.40160642570279403,-1.1102230246251565e-14
2016-05-01,100.4,629697.0,4.9,97.2,0.5,6191.899902,0.29970029970030065,0.3015075376884502,0.19980019980019303
2016-06-01,100.6,629697.0,4.9,96.1,0.5,6577.799805,0.39920159680637557,0.5015045135406293,0.19980019980019303
2016-07-01,100.75,632477.0,5.0,97.9,0.5,6694.0,0.6996501749125361,0.30000000000001137,0.40160642570279403
2016-08-01,100.9,632477.0,4.8,97.6,0.25,6746.0,0.5982053838484713,0.29970029970030065,0.3015075376884502
2016-09-01,101.1,632477.0,4.8,98.1,0.25,6899.299805,0.8982035928143617,0.39920159680637557,0.5015045135406293
2016-10-01,101.35,636392.0,4.8,99.7,0.25,6954.200195,1.0468594217347915,0.6996501749125361,0.30000000000001137
